Business Name,Customer Last Name,Customer First Name,Civic Nbr,Street,Location Latitude,Location Longitude,RFID,Capacity,Capacity Units,Color,Container Type,Manufacturer,Route 1,SeqNbr 1,Route 2,SeqNbr 2,Route 3,SeqNbr 3,Route 4,SeqNbr 4,Route 5,SeqNbr 5,Route 6,SeqNbr 6,Route 7,SeqNbr 7,Route 8,SeqNbr 8,Route 9,SeqNbr 9,Route 10,SeqNbr 10,Route 11,SeqNbr 11,Route 12,SeqNbr 12,Route 13,SeqNbr 13,Route 14,SeqNbr 14
David Clark Labs,David, Clark Labs,100,Brooks Ave.,35.78736144,-78.67415466,0000FRR22478062930000083,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrSpot1,74,,,,,,,,,,,,,,,,,,,,,,,,,,
David Clark Labs,David, Clark Labs,100,Brooks Ave.,35.78736144,-78.67415466,0000FRR22478062930000083,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrSpot1,75,,,,,,,,,,,,,,,,,,,,,,,,,,
David Clark Labs,David, Clark Labs,100,Brooks Ave.,35.78736144,-78.67415466,0000FRR226681e2990000003,4,Yard,RED,DUMPSTER,WASTEQUIP,RThrSpot1,76,,,,,,,,,,,,,,,,,,,,,,,,,,
David Clark Labs,David, Clark Labs,100,Brooks Ave.,35.78736144,-78.67415466,0000FRR226681e2990000003,4,Yard,RED,DUMPSTER,WASTEQUIP,RThrSpot1,77,,,,,,,,,,,,,,,,,,,,,,,,,,
Dearstyne Convenience Site,Dearstyne,Convenience Site,3223,Ligon St.,35.79044346,-78.69799805,0000FRR2247806293000008a,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,44,,,,,,,,,,,,,,,,,,,,,,,,,,
Dearstyne Entomology,Dearstyne, Entomology,3230,Ligon St.,35.78857857,-78.69871512,0000FRR22472082800000055,4,Yard,RED,DUMPSTER,WASTEQUIP,RThrWaste2,56,,,,,,,,,,,,,,,,,,,,,,,,,,
Dearstyne Isolation Unit,Dearstyne, Isolation Unit,3221,Ligon St.,35.78936415,-78.69860229,0000FRR2247806293000008e,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,39,,,,,,,,,,,,,,,,,,,,,,,,,,
Dearstyne Isolation Unit,Dearstyne, Isolation Unit,3221,Ligon St.,35.78936415,-78.69860229,0000FRR22472082800000057,4,Yard,RED,DUMPSTER,WASTEQUIP,RThrWaste2,58,,,,,,,,,,,,,,,,,,,,,,,,,,
Dearstyne Isolation Unit,Dearstyne, Isolation Unit,3221,Ligon St.,35.78936415,-78.69860229,0000FRR22472082800000056,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrWaste2,60,,,,,,,,,,,,,,,,,,,,,,,,,,
Dearstyne MAE Lab,Dearstyne, MAE Lab,3217,Ligon St.,35.78971815,-78.69906921,0000FRR22478062930000091,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,45,,,,,,,,,,,,,,,,,,,,,,,,,,
Dearstyne MAE Lab,Dearstyne, MAE Lab,3217,Ligon St.,35.78971815,-78.69906921,0000FRR22472082800000058,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrWaste2,59,,,,,,,,,,,,,,,,,,,,,,,,,,
Dearstyne Research Annex West A,Dearstyne, Research Annex West A,3210,Ligon St.,35.78805492,-78.69865396,0000FRR22478062930000093,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,38,,,,,,,,,,,,,,,,,,,,,,,,,,
Dearstyne Research Annex West A,Dearstyne, Research Annex West A,3210,Ligon St.,35.78805492,-78.69865396,0000FRR22472082800000059,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrWaste2,57,,,,,,,,,,,,,,,,,,,,,,,,,,
DH Hill,DH,Hill Library,2,Broughton Dr.,35.78757682,-78.66988525,0000FRR22478062930000087,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RTueOcc1,2,RThrOcc1,58,RSatOcc1,6,RMonMR1,2,RWedMR1,38,RFriMR1,12,,,,,,,,,,,,,,,,
DH Hill,DH,Hill Library,2,Broughton Dr.,35.78757682,-78.66988525,0000FRR2266902dba0000002,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,23,,,,,,,,,,,,,,,,,,,,,,,,,,
